Artifact Name,Date,Culture/Region,Material,Dimensions,Category/Type,Object Number,Description,Artifact Image URL,Authenticity
Figure: Head,12th–15th century,Yoruba peoples,Soapstone,H. 11 1/4 in. × W. 5 1/2 in. × D. 6 in. (28.6 × 14 × 15.2 cm),Stone-Sculpture,1979.206.296,"This stone head of a woman is part of a group of over a thousand known sculptures identified with a site in the Yoruba town of Esie in north central Nigeria. There, an assemblage of soapstone figures of women, men, and animals were found lying in a forest grove, most showing signs of deliberate damage from an apparent act of organized defacement. It is not known when the objects were created or vandalized, although it is estimated that they were carved between the twelfth and fifteenth century. The disarray of the site has limited attempts to provide dates and establish the cultural origins of these works, however, and even the best estimations remain informed speculation.This sculpted head possesses many traits common to Esie figures, including sharply defined almond eyes, ears set far back on the head, and three protruding scarification marks beside its left eye. While some statues from Esie have been described as solemn in expression, here the mouth seems to part in a slight but gentle smile. The sculptor has given particular attention to the woman's elaborate coiffure, which is almost as large as her head and provides a lively contrast to it.This fragmentary head was originally part of a full-sized figural sculpture. All Esie figures' heads are disproportionately large in relation to their bodies, a visual emphasis also common in the sculptural traditions of Ife, with which they have sometimes been compared. As in the arts of many African peoples, this visual accenting of the head was undoubtedly intended to reflect the importance accorded to it by the culture.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/312519/673676/main-image,Authentic
Royal Seat (Lupona): Female Caryatid,19th century,Luba or Hemba peoples,"Wood, metal studs",H. 24 × W. 11 × D. 11 in. (61 × 27.9 × 27.9 cm),Wood-Furniture,1979.290,"In many cultures throughout the southeastern region of the Democratic Republic of Congo—indeed, throughout much of Africa—the seats of leaders are important symbols of power and authority. Among the Luba, rank and title are indicated by the progressive ascension to more prestigious forms of seating, beginning with simple woven mats and proceeding onto animal pelts, clay thrones, and finally, sculpted wooden thrones such as this example from the Museum's collection. Stools figure prominently in the rigorous rites of royal investiture as Luba kings and chiefs accede to power and acquire the appropriate symbols of office. The main function of the stool was not to serve as a seat, but rather as a receptacle for the chief's spirit. Stools are such powerful emblems of a chief's power and identity that they were often kept secretly in a village different from their possessor's to reduce the risk of theft or desecration. The stools, swathed in white cloth and fastidiously guarded, were brought out only on rare occasions, reinforcing the notion that they and their insignia were not intended for human eyes, but rather for those of the spirit world. Among the Luba, all royal stools are considered replicas of an original prototype that was given to their first king, Mbidi Kiluwe, at the time of his investiture.The seat of this royal Luba stool is supported by a standing female figure who balances it on her head and the tips of her elongated fingers. Her small, pear-shaped body is detailed with elaborate cicatrization markings on the stomach and abdomen that, in past generations, enhanced a woman's body as signs of beauty and civilization. Despite being a patriarchal society, the Luba peoples trace succession and inheritance through the female line. Consequently, caryatid figures that support chiefs' stools generally depict female ancestors. This Luba sculptural tradition was designed to identify and glorify the king, chiefs, and titled officials who constituted the complex hierarchy of leadership within the Luba empire.Within this tradition of royal Luba artifacts, the styles of a few artists have come to be recognized and singled out. This Luba chief's ceremonial stool has been attributed to the Buli Master, one of the best-known sculptors of traditional African art, who was named by European scholars after a village in the eastern region of the Democratic Republic of the Congo where a number of his works were collected. The stool is part of a corpus of about twenty stylistically related works. Many of these entered European collections around 1900, and it is believed that the Buli Master was active in the middle to late nineteenth century.The Buli Master has been recognized for his ability to imbue his works with particular emotional intensity. Other formal characteristics of the Buli Master's corpus include enlarged, flattened hands turned palm forward; a heavy, four-lobed coiffure crisply undercut at the back of the neck; and an expressive, mournful face. With its slightly aquiline nose, arching brows, and pursed lips, the face wears an expression often interpreted as suffering by Western viewers. The entire sculpture, carved of a single piece of soft wood, is now covered with a lustrous patina, the result of multiple applications of oil to the stool's surface.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/314034/666933/main-image,Authentic
Seated couple,18th–early 19th century,Dogon,"Wood, copper and iron alloy, applied organic materials",H. 28 3/4 × W. 8 5/8 × D. 8 in. (73 × 21.9 × 20.3 cm),Wood-Sculpture,1977.394.15,"This work's scale and complexity have led scholars to suggest that it may have been created for display at the funerals of influential Dogon men. The graphic composition constitutes an eloquent statement concerning the distinct and yet complementary roles of male and female partners as a unit of life. With understated elegance and an economy of details, the artistic distills man and woman to a perfectly integrated and harmonious union. One of the most striking aspects of  the representation is the degree of bilateral symmetry that describes man and woman as reflections of each other with delicate and subtle departures that indicate their distinct identities. The figures' elongated bodies are depicted as a series of parallel vertical lines traversed by horizontals that draw them together. On the reverse side a small child clinging to the female's back is balanced by a quiver on the back of the male. That concluding pair of features distinguishes their respective role as nurturer and provider joined together to procreate and sustain life.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/310325/666909/main-image,Authentic
Seated Chief (Mwanangana) Playing Sanza,19th century (before 1869),Chokwe,"Wood (uapaca), cloth, fiber, beads, dyes, resinous coating",H. 16 3/4 in. × W. 5 in. × D. 5 1/2 in. (42.5 × 12.7 × 14 cm),Wood-Sculpture,1988.157,"By the early nineteenth century, Chokwe chiefs in the savanna of present-day Democratic Republic of Congo and Angola had become active trading partners with merchants from Europe and the New World. Profiting from commerce in ivory, rubber, wax, and African slaves, they emerged as important regional rulers whose prestige and power was reflected in the art they commissioned for their courts at this time.This figure depicts a Chokwe chief, or mwanangana, and epitomizes the balance of power and refinement that is characteristic of Chokwe court art. His large, spreading hands, muscular shoulders, and aggressive posture epitomize the strength and vigor of a ruler. A bulging, domelike forehead and large eyes suggest mental acuity and keen eyesight. The sweeping curves and swelling volumes of the distinctive headdress, rendered here in wood, depict an actual Chokwe crown made of cloth-covered basketry. Horns of the tiny duiker antelope, which bear associations with hunting and the dangerous, mysterious practices of medicine and sorcery, are placed on the sides of the headdress. The chief holds a lamellophone, or ""thumb piano,"" an instrument whose music often accompanies recitations of oral histories and the praise songs of important individuals. Instrument in hand, the chief is cast as a repository and guardian of historical and cultural knowledge.While depicting a nineteenth-century Chokwe chief, this sculpture also evokes the culture hero Chibinda Ilunga, a legendary hunter from the powerful Luba kingdom. Chibinda Ilunga is said to have introduced new principles of governance to the Chokwe peoples, and figures such as this one honor the productive union of these two cultures.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/316173/666930/main-image,Authentic
Head of an Oba,16th century,Edo artist,Brass,H.  9 1/4 x W. 8 5/8 x D. 9 in. (23.5 x 21.9 x 22.9 cm),Metal-Sculpture,1979.206.86,"This commemorative cast-brass sculpture depicts the idealized likeness of an oba, or king, wearing a woven cap of coral beads, with lateral strands of coral suspended around both ears. A single bead extends from the headdress to the forehead, aligned with the ridge of the nose, creating bilateral symmetry. The youthful face is round and rendered with precise naturalism. A rolled collar is worn low on the neck and is characteristic of imagery associated with Benin rulers. A circular opening at the summit of the head would have accommodated a carved elephant tusk. This sculpture would have held a place of honor on an altar in the palace of the kingdom of Benin (in present-day Nigeria), during the early half of the sixteenth century.The obas of Benin trace their origins to a ruling dynasty that began in the fourteenth century. The title of oba is passed on to the firstborn son at the time of the ruler’s death. The first obligation of the new king was to create a shrine, dedicated to his predecessor and serving as the site at which the living monarch communicated with his ancestor or father. Ensuring dynastic continuity, the shrine held various carved and cast artifacts, including freestanding brass heads such as this one. The head acted as a vessel through which the late king transferred his power to the new king, the latter accepting the responsibility for successfully directing and defining his life. The Edo people considered the head to be the locus of a man’s character, knowledge, authority, success, and family leadership. These sculptural heads were a consistent visual point of reference from ruler to ruler, reinforcing the idea of familial succession across a single dynasty. The oba is often called by his praise name “Great Head,” emphasizing the head of the living leader as the center of responsibility for the kingdom. Brass heads of the first half of the sixteenth century, such as this one, are distinguished by their naturalism and by the thin walls of their brass casting. The relatively minimal amount of brass used to make this light cast and the proportionately small amount of regalia depicted indicated that the head was created early on. Art historians have suggested that over the centuries, as greater quantities of brass became available, casters had less incentive to be economical with the material, and the trappings of office worn by the kings of Benin became more ostentatious.This genre of commemorative portraiture is highly stylized and does not portray recognizable facial features, but rather renders the deceased king at the prime of his life. The focus is on the regalia and materials of kingship: both brass and coral were items of wealth obtained by Benin’s leadership from Europe through the coastal trade. Coral is of particular significance to the Edo as a metaphor for the ancestral realm of the sea. The use of brass for commemorative heads dates to the fifteenth century, as a way for the Oranmiyan Dynasty rules to distinguish themselves from the previous dynasty of rules. During this time, artists of Benin in dialogue with their patrons developed a sculptural program for commemoration in which the depiction of the oba went from representational to idealization, reinforcing the continuity of the dynasty and its identification with a consistent ideal of leadership. Even today, the Edo value brass for its red color and shiny surface, which make it both beautiful and frightening, properties befitting the images of divine monarchs. Beyond aesthetic qualities, the use of brass conferred on the works a sense of permanence and imbued them with the potential to deflect evil.BibliographyBarley, Nigel.The Art of Benin. The British Museum Press: London, 2010.Dark, Phillip.An Illustrated Catalogue of Benin Art. G.K. Hall & co: Boston, 1982. Illus. 31Ezra, Kate.Royal Art of Benin: The Perls Collection in the Metropolitan Museum of Art. The Metropolitan Museum of Art: New York, 1992.LaGamma, Alisa.Heroic Africans: Legendary Leaders, Iconic Sculptures. The Metropolitan Museum of Art: New York, 2012.Plankensteiner, Barbara (ed.).Benin Kings and Rituals: Court Arts from Nigeria. The Art Institute of Chicago: Chicago, 2007.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/312290/674960/main-image,Authentic
Commemorative Portrait of a Chief (Singiti),19th–early 20th century,Dogon,Wood,H. 30 11/16 × W. 7 11/16 × D. 8 in. (78 × 19.5 × 20.3 cm),Wood-Sculpture,2015.119,"The subject of this posthumous commemorative portrait was the sovereign of a Hemba chiefdom during the nineteenth century in what is today the southeastern sector of the Democratic Republic of the Congo. Not every Hemba chief was honored with such a depiction. Such commissions were divinely sanctioned when a sitting chief was visited in a dream by one of his predecessors and this was interpreted as a sign that a singiti figure should be carved in that individual’s honor. Hemba artists emphasized two bodily passages of such representations – the head as the site of one’s intellect where knowledge is taken in through the eyes and the stomach where the umbilicus is the point of connection with one’s extended lineage. A Hemba chief inherited a series of such works that were housed in a dedicated structure centrally located in the community adjacent to his residence. Although the talents of the most gifted Hemba artists were drawn upon for such creations, historically only their caretaker and the ancestors had access to the works.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/320673/1450838/restricted,Authentic
Memorial Head (Nsodie),ca. 1800,Akan,Terracotta,H. 7 3/4 × W. 6 × D. 7 in. (19.7 × 15.2 × 17.8 cm),Ceramics-Sculpture,2015.790,"This elegant terracotta head is a memorial portrait (nsodie) of an Akan ruler from present-day southern Ghana. It is an idealized representation whose serene expression and well-balanced features suggest the positive qualities such rulers are expected to embody. Created posthumously, royal images like this one were placed with the portraits of previous rulers in sacred areas within the cemetery called asensie. Generally, each royal figure was accompanied by sculptures of courtiers and servants, perhaps to provide aid and comfort to the deceased in the afterlife. Together, they formed sculptural assemblages that honored and preserved the memory of these respected individuals and the chiefly lineages of which they were part. At certain times of the year, the asensie was the focus of prayers, libations, and other offerings that ensured the continuing support and protection of the ancestors.Sculptures associated with this tradition, which dates to at least the seventeenth century, were produced in a wide variety of regional styles.  Like other commemorative sculptures in clay created by artists in the Twifo-Heman traditional area, this reflective portrait is characterized by its serene and meditative expression. Its volumetric and circular head is personalized through distinctive individualized details: cicatrices adorning the temples and an elaborate coiffure. The face’s features are symmetrically defined on either side of the straight ridge of the nose, terminated by slightly flared nostrils that seem to vibrate with life. Striated raised eyebrows interrupt a smooth forehead and arch over shut eyes, defined by a central slit marking each eyelid. The thin-lipped mouth stretches in a small smile that animates the face and adds to its overall sense of serenity. Rows of five vertical cicatrices adorn each temple. Semi-circular ears extend on both sides of the face. This work provides a study of the contrasts between the refined simplicity of the reflective face and the exquisite elaboration of the highly personalized coiffure. In this multi-teared coiffure, each lock has been exploited as an opportunity for abstract formal exploration.Comparing this individualized representation with the other example from the same region in the Met's collection (1978.412.563) reveals the genre of nuanced details implemented by artists to differentiate one individual from another. Indeed, accounts of the creation of Akan memorial heads suggest that the artist, selected by the family, studied the subject in repeated sittings during his or her lifetime.In much of Africa, clay is an artistic medium primarily associated with women. European visitors to this region in the mid-nineteenth century documented a related Akan tradition of lifesize funerary sculpture crafted by female artists. Although earlier accounts did not identify the producers of these smaller memorial heads, it is probable that they were created by female sculptors as well.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/320598/680666/main-image,Authentic
Plaque: Warrior and Attendants,16th–17th century,Edo,Brass,H. 18 3/4 × W. 15 × D. 4 1/4 in. (47.6 × 38.1 × 10.8 cm),Metal-Sculpture,1990.332,"During the sixteenth and seventeenth centuries, a remarkable series of works were created to adorn the exterior of the royal palace in Benin City. A seventeenth-century Dutch visitor to the court of Benin, Olfert Dapper, described the sprawling palace complex—with its many large courtyards and galleries—as containing wooden pillars covered from top to bottom with rectangular cast brass plaques. These plaques are understood to have autonomous meaning and to tell complex narratives in relationship to one another. At some point the plaques were removed from the palace facade, as they were no longer there when the British arrived in the region. One scholar has surmised that they ""were kept like a card index…, and referred to when there was a dispute about courtly etiquette.""The authors of such works were far more concerned with the communication of hierarchies and status than in capturing individual physical features. These plaques conform to a convention of ""hierarchical proportions"" wherein the largest figure is the one with the greatest authority and rank. In this example, it is a warrior chief. He is in the center, flanked on either side by soldiers of lesser rank. Regalia and symbols of status are emphasized above all other aspects of the subject depicted. For example, the warrior is shown with leopard-spot scarification marks and a leopard-tooth necklace, which associate him with the stealth, speed, and ferocity of the leopard. As ""king of the bush,"" the leopard is one of the principle symbols of Benin kingship. Additionally, the warrior chief wears a coral-studded helmet and collar, a lavish wrap, and a brass ornament on his hip. In his left hand he carries a ceremonial sword, a gesture of honor and loyalty, and holds a spear in his other hand.The servile status of the figures flanking the warrior chief is indicated by the objects they carry. One attendant has a fan used to cool the warrior chief, the other a trumpet to announce his presence. A third attendant brings a box containing an offering of kola nuts for theoba(king).The Legacy of Benin Court Art: From Tragedy to ResilienceAt its origins, the centralized city-state of Benin was founded by Edo-speaking peoples. The accounts by official court historians and descriptions provided by visitors evoke a vibrant cultural center continually redefined by its leadership through shifting internal and external power dynamics. According to oral tradition, circa 1300, Edo chiefs are reputed to have reached out to the leader of neighboring Ife, Oranmiyan, to establish a new divinely sanctioned royal dynasty. Since then, the investiture of Benin’s rulers to the title of obas has conferred upon them at once a role of chief priest officiating in important religious ceremonies and presiding over an elaborate structure of palace officials. During the fifteenth century reign of Oba Ewuare, Benin’s armies were formed and the fortification of its capital with a massive wall undertaken. In parallel, delegations of Portuguese traders assiduously sought to secure exclusive commercial treaties with this leader of the region’s most powerful polity. At its height in 1500, Benin’s authority extended to the Niger delta in the east and to the coastal lagoon of Lagos in the west. Its major exports of pepper, textiles, and ivory were exchanged for copious quantities of imported metals. This access to an influx of brass led to an explosion of creativity by court artists who transformed it into works for the palace ranging from ancestral portraits, positioned on royal altars, to decorative plaques depicting the oba, his courtiers, and foreign interlocutors. From the earliest such exchanges, those Europeans commissioned exquisite ivory artifacts from Edo carvers for princely collections back home.For nearly five hundred years, Benin’s independent leaders firmly established the terms of engagement with Portuguese, Dutch, and French agents and effectively represented their own interests. Despite the demands of the Atlantic Slave trade, for centuries they limited their participation to selling prisoners of war to the Portuguese. Historians have suggested that this only changed during the eighteenth century when escalation of contests among regional polities created a demand for access to European firearms. During that later period instability engendered by disputes over succession and civil war was further fueled through the exchange of captives for firearms. A number of internal and external developments that followed in the nineteenth century impacted the standing and vulnerability of Benin’s monarchs. Under Oba Adolo, the balance of power appears to have favored the more powerful chiefs and by the early years of his successor Ovonramwen’s reign, bitter feuds and seditious conspiracies divided their ranks. This shift was manifest in the increased emphasis on the oba’s ceremonial and ritual activities and the aggrandizement of chiefly residences that outstripped the palace. Concurrently significant changes were unfolding around Benin: Islam was in the ascendant in the rival state of Oyo; Christianity was embraced by the southern Yoruba; abolition of the slave trade was leading to the demise of the Itsekiri monarchy; and local British officials were increasingly determined to undermine the oba’s authority.The British invasion of the capital of the Kingdom of Benin in 1897 was part of a campaign waged from 1892 through 1902 to forcibly bring most of the inland territory of modern-day Nigeria under British rule. With the British conquest of Benin City, Oba Ovonramwen was exiled to Calabar and soldiers plundered the palace. The brutality of the removal of its contents has forever decoupled altars dedicated to each individual oba dating from 1300 to Benin’s conquest with the specific works conceived to commemorate them. Directly following the military action some 200 Benin artifacts were given to the British Museum by the Secretary of State for Foreign Affairs while others were sold on the international art market. In addition to dealers and private collectors the major clientele at this time were newly established ethnographic museums in the West. Following Ovonramwen’s death in 1913, his son Eweka II was restored to the office within a British protectorate and prioritized a renewal of artistic patronage in Benin City. Subsequent to the nineteenth century dispersal of Benin works, awareness of their extraordinary aesthetic power, beauty, and complexity profoundly influenced Black public intellectuals. Notable among these in the U.S. were W.E.B. Dubois, Alain Locke and artists from the Harlem Renaissance on. At the same time, their relegation to ethnographic museums during the colonial era continues to reflect the legacy of their forceful removal and segregation from comparable cultural achievements by Western creators.In 1950 a selection of Benin works were transferred through sale, exchange, and donation from the British Museum to what is today Nigeria’s National Commission for Museums and Monuments for display in Benin City and Lagos. In 1960 with the establishment of the Federation of Nigeria as a nation, Benin City became the capital of Edo State. Exemplars of this tradition today conserved at the Metropolitan Museum of Art were given to this institution in 1969 and 1991 by individuals who acquired them on the international art market to at once make them accessible to the public and celebrate their excellence. In 2016 Oba Ewuare II assumed the title of Benin’s current oba. He has noted that while such works ""have come to serve as ambassadors of our culture around the world,"" a priority is the building of a new museum devoted to this legacy in Benin City. Designed by David Adjaye, this major cultural initiative embedded in the very fabric of the ancient city walls promises to afford expanded opportunities to understand and reflect on the significance of this living tradition at its source as well as those for international collaboration.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/316393/666922/main-image,Authentic
Male Power Figure (Nkisi),late19th–mid-20th century,Kongo,"Wood, pigment, nails, cloth, beads, shells, arrows, leather, nuts, twine",H. 23 1/8 x D. 10 1/4 x W. 10 in. (58.8 x 26 x 25.4 cm),Wood-Sculpture,1979.206.127,"This work was the product of an intense collaboration between a sculptor and the initiated priest ""nganga,"" who controlled its use in his professional practice. After an artist completed carving the artifact, the ""nganga"" transformed it into an object capable of healing illness, settling disputes, safeguarding the peace, and punishing wrongdoers. Each work of this kind or ""nkisi"" is associated with a spirit, that is subjected to a degree of human control. The term ""nkisi"" may relate to a wide spectrum of physical receptacles, including cloth packets, filled vessels, as well as the carved wood sculptures studied by art historians. This piece is especially admired for its reflective inward expression.Among the many amulets and bound bundles attached to this ""nkisi,"" are a finely carved anthropomorphic cross and a small gong. The cross alludes to the division between the land of the living and the land of the dead and represents the meeting place of these two worlds, or the ""crossroads."" The gong and other musical instruments of this type are believed to sound in the land of the dead and are therefore used to call the spirit of the ""nkisi."" The ""nkisi's"" power is further enhanced by the addition of two miniature ""minkisi,"" one with a cowry embedded in its stomach and the other encrusted with a thick layer of medicines.Cloth and tied bundles, like those seen in abundance on this ""nkisi,"" have multiple interpretations. Knots and the act of tying are associated with the binding and capturing of a spirit. Additionally, cloth as a cherished commodity represents a generous financial offering made to the ""nkisi"" in gratitude for its assistance. Finally, cloth taken from intimate garments seals the connection between a supplicant and the ""nkisi.""This nkisi has been a highlight of the Rockefeller collection since its acquisition in 1952.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/312342/683036/restricted,Authentic
Illuminated Gospel,late 14th–early 15th century,Amhara peoples,"Parchment (vellum), wood (acacia), tempera, ink",H. 16 1/2 x W. 11 1/4 x D. 4 in. (41.9 x 28.6 x 10.2 cm),Hide-Documents,1998.66,"This illuminated manuscript of the Four Gospels was created at a monastic center in northern Ethiopia. Twenty full-page paintings depict scenes from the life of Christ and four portraits of the evangelists introduce the respective Gospel texts. The New Testament was translated from Greek into Geez, the classical language of Ethiopia, in the sixth century. Both this text and its pictorial format draw upon Byzantine prototypes, which were transformed into a local idiom of expression. Stylistically consistent, the paintings reflect the hands of two distinct artists. The color scheme consists of red, yellow, green, and blue. A stylized uniformity is reflected in the abbreviated definition of facial features and the bold linear articulation of the human form in black and red. Figures' heads are depicted frontally, their bodies often in profile. Bodies are treated as columnar masses encased in textiles composed of striated fields juxtaposed against one another.This work is evidence of sub-Saharan Africa's historically complex interrelationships with Arabia, Egypt, and the eastern Mediterranean. The origins of civilization in Highlands Ethiopia can be traced to the sixth century B.C.E., when emigrants from Arabia merged with indigenous groups to develop the kingdom of Aksum. In the fourth century C.E., scholars from Alexandria converted the Ethiopian king Ezana, and Christianity became the official religion of a state that endured until modern times. Over the centuries, as the Ethiopian state expanded, monasteries were founded as centers of learning responsible for disseminating knowledge and consolidating the power and influence of the monarchy. In the Ethiopian Orthodox Church, the text of the Gospels was considered the most important holy writing; the miniatures at the beginning of this manuscript were intended to be viewed during liturgical processions. Such works were frequently presented to churches by distinguished patrons; they reflected both the prestige of royal benefactors and the erudition of the monastic scriptoria in which they were created.  Recent research suggests that a member of Ethiopia's ruling elite may have commissioned this manuscript at Dabra Hayg Estifanos monastery for presentation to his or her favored church or monastery.  Brief notations indicate that the church in question was dedicated to the Archangel Michael.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/317618/662880/main-image,Authentic
Seated figure,13th century,Middle Niger civilization,Terracotta,H. 10 × W. 9 3/4 × D. 11 3/4 in. (25.4 × 24.8 × 29.8 cm),Ceramics-Sculpture,1981.218,"This haunting figure huddles with its leg hugged to its chest and its head dropped on its knee. It simultaneously suggests the knotted tension of anxiety and the sublime absorption of deep prayer. Created over 700 years ago, in the Inland Niger Delta region of present-day Mali, this elegant work's intense emotional immediacy blurs the boundaries of time and place.This terracotta sculpture comes from a site called Jenne-jeno, the oldest known city in sub-Saharan Africa. Jenne-jeno flourished in the ninth century A.D., but declined and was abandoned by 1400. Items of cast brass and forged iron, clay vessels, and figures like this one survive. They testify to what scholars contend was a richly varied and highly sophisticated urban society.A few controlled archaeological digs provide only the vaguest outlines of the original significance of the art of this time and region. Recovered terracotta figures are frequently quite detailed. They include jewelry, clothing, and body ornaments such as the parallel columns of bumps and circles on the back of this work. Sometimes they cover the entire body and seem to represent the pustules of some dreadful illness.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/314362/666906/main-image,Authentic
Kpeliye’e headdress,19th–mid-20th century,Senufo peoples,"Wood, horns, raffia fiber, cotton cloth, feather, metal, sacrificial material",H. 30 1/4 x W. 13 x  D. 9 in. (76.8 x 33 x 22.9 cm),Wood-Sculpture,1978.412.489,"Throughout the twentieth century, members of poro, a Senufo initiation association, wore small, finely carved face masks as insignia. The masks, known as kpeliye'e, feature delicate oval faces with geometric projections at the sides. Raised and incised scarification patterns ornament their smooth, glossy surfaces. Considered feminine, the masks honor deceased Senufo elders with their grace and beauty. They provide a complement to the aggressive Senufo helmet masks also sponsored by fraternal organizations in the region. The feathers and animal horns attached to this example are unusual, and may have reflected its owner's power to counteract negative forces in the community.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/310950/666912/restricted,Authentic
Priest with raised arms,14th–17th century,Dogon peoples,"Wood, patina",H. 82 7/8 x W. 14 1/4 x D. 8 3/8 in. (210.5 x 36.2 x 21.3 cm),Wood-Sculpture,1978.412.322,"The Dogon live in the elevated rocky heights of Mali's Bandiagara Escarpment. They rely on agriculture and manage to wrest subsistence crops from poor soil in an area that receives little rain. This monumental figure is one of the largest Dogon sculptures known. The region's dry climate has preserved Dogon works far longer than is usual for African wood sculpture, and radiocarbon testing of this work suggests that it may date as far back as the fifteenth century.Dogon sculpture is primarily concerned with the spirits responsible for the fertility of both land and people. These include a family's real and mythical ancestors, the souls of women who died in childbirth, and water spirits. While the exact functions and meanings of individual works often remain obscure, scholars agree that Dogon sculptures were created for shrines.The most distinctive subject rendered by Dogon sculptures is that of a single figure standing with raised arms. This posture has usually been interpreted as a gesture of prayer—an effort to link earth and heavens—and it has been suggested that it may represent an appeal for rain. This masterpiece of Dogon figurative art depicts a man with a well-modeled body in a naturalistic stance. The artist has carefully rendered the figure's musculature, anatomical detail, and body ornament. His stylized beard identifies him as an elder and an individual whose age and experience entitle him to participate in the most important religious, political, and social affairs of Dogon society. The figure wears wristlets, armlets, and anklets that indicate his status, as well as a belt and neck pendants resembling leather talismans that also suggest his spiritual importance.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/310765/1297303/main-image,Authentic
